disasterNumber,totalAmountIhpApproved,totalObligatedAmountPa,totalObligatedAmountHmgp
2454,,9320013.02,
5028,,1249472.02,0.0
5288,,2658681.22,486443.35
5092,,14620253.01,459594.0
5254,,9258.91,0.0
2376,,536017.54,
5030,,3725524.98,0.0
5097,,3214693.54,39142.24
2810,,16361.8,0.0
3097,,20174330.8,
5523,,,0.0
2119,,90917.25,
2802,,329201.83,0.0
2096,,78682.0,
2370,,334733.96,
2107,,145739.3,
5571,,,0.0
2748,,1046537.88,0.0
5369,,54110.05,0.0
2984,,5679187.27,0.0
2394,,133002.75,
2633,,750.0,0.0
2233,,367.0,
2173,,28434.0,
3101,,644399.12,
2080,,151581.41,
5521,,,0.0
1388,,11677354.07,2023999.0
1390,,5935229.86,914172.0
5603,,,0.0
5604,,,0.0
5605,,,0.0
1406,,6233212.7,1149793.0
1707,,5918785.05,231527.0
3209,,3261706.85,
1892,,6841093.22,894520.0
1678,,75910130.6,9858211.0
1419,,26435703.2,5840208.0
2243,,1483.3,
4238,,50780811.67,10203784.95
1379,,433651817.0,201035427.0
5510,,,154710.25
4092,,10459122.12,1555721.32
3161,,16539984.85,
3198,,8636637.81,
1696,,6708634.83,877049.0
1367,,8618000.36,1876460.0
1335,,31020492.12,2766765.0
1560,,15368109.08,1135905.0
1669,,9244257.84,1055799.0
1932,,7384786.3,990370.0
4063,,4883032.82,726334.0
1366,,2697313.17,442317.0
1748,,10068998.77,0.0
5582,,,0.0
3615,,,
5580,,,0.0
5607,,,0.0
3609,,,
5518,,,0.0
1333,,11738303.73,4661056.0
5386,,,101145.63
3624,,,
4002,,32964612.36,4510495.0
2462,,1807994.0,
4126,,20524115.81,2747619.0
4281,,5398418.52,1123574.5
2917,,515274.49,0.0
1821,,6143015.93,532472.0
4256,,49143878.08,8619410.99
1620,,24647039.99,1607048.0
5423,,,187359.83
1314,,2605294.29,405517.0
1510,,10289394.05,795890.0
1422,,1238463.33,831698.0
2960,,237059.79,0.0
5070,,9800754.63,0.0
1937,,3950567.97,537972.0
4471,,13792018.83,277185.14
4076,,8488330.16,1577249.0
2146,,90075.3,
1263,,1579219.78,235411.0
2086,,206437.7,
2773,,4759982.52,0.0
1839,,4546528.04,703135.0
2694,,1625345.68,0.0
3234,,219505.79,
2189,,285171.51,
3366,,1639099.39,
2460,,1677331.23,
2321,,18783.0,
1245,,9108430.34,2204299.0
2112,,3563854.01,
2131,,12667.2,
1374,,4621871.5,492411.0
3564,,216592.19,
2121,,13685.7,
2235,,38992.0,
3236,,163068.54,
5575,,,0.0
5583,,,0.0
4271,,1690433.9,167546.81
5085,,521457.25,0.0
5013,,775643.48,0.0
3104,,1808308.18,
2168,,23340.8,
1251,,25167912.31,13298291.0
5213,,8128493.97,0.0
2702,,133037.28,0.0
2183,,932280.44,
5050,,4558436.47,0.0
3247,,24233.27,
5117,,57419.43,303514.37
2771,,13458920.53,0.0
2726,,119765.79,0.0
5462,,,0.0
2377,,2761493.04,
2476,,7674.38,0.0
2226,,1132660.9,
3276,,79259.86,
4257,,11464133.02,106603.41
2871,,41791.72,0.0
5095,,484775.83,290927.42
2949,,400385.93,0.0
2758,,138933.54,0.0
5026,,2515374.98,0.0
5416,,3379328.86,0.0
2333,,27676.97,
5443,,3557670.84,0.0
5172,,142453.23,0.0
2819,,410439.53,0.0
5455,,3024.47,0.0
1534,,18467868.44,711134.0
1413,,4906653.82,771719.0
1691,,1241633.57,186168.0
1448,,86565179.7,6401348.0
2579,,3906217.67,0.0
1355,,160002351.14,23968328.0
2768,,292521.18,0.0
3116,,4403306.05,
4597,,15236311.79,1541757.02
2071,,3314655.92,
3625,,,
5557,,,0.0
5554,,,0.0
5555,,,0.0
4009,,11095538.36,381333.0
1272,,40588743.22,12665798.0
1860,,3143581.09,463613.0
2074,,1726889.5,
5392,,,1925765.04
1250,,32353288.21,6689836.0
1793,,3895660.58,608954.0
1948,,100179.04,242102.0
1767,,3346388.88,493091.0
2510,,59932.91,0.0
2158,,52328.5,
4444,,8208143.56,1414708.16
5509,,,0.0
1689,,,1141292.0
2136,,43485.4,
2587,,55425.8,0.0
3204,,2448149.31,
3202,,1690912.41,
1249,,109791243.08,15005046.0
2184,,1190.0,
2144,,50911.7,
1357,,4294159.44,351225.0
3109,,5541924.38,
1428,,1788583.65,237017.0
2155,,7036.4,
2952,,3996374.6,0.0
2220,,12209.0,
2126,,15425.2,
2722,,83628.49,0.0
2259,,405179.6,
1799,,823848.76,319962.0
1365,,2855252.63,417677.0
2961,,6590703.9,0.0
4170,,8678576.02,1076385.25
2663,,619658.59,0.0
2955,,960443.78,0.0
3211,,2080378.21,
5055,,9288969.03,0.0
2402,,2505601.52,
5066,,9630026.88,0.0
2815,,416.58,0.0
5563,,,0.0
5556,,,0.0
5576,,,0.0
2170,,1067.5,
2428,,974428.11,
3605,,,
2727,,825529.81,0.0
2677,,1537959.0,0.0
2213,,1337956.9,
2230,,20704.0,
5539,,,0.0
3621,,,
5609,,,0.0
2224,,36992.0,
2868,,37611.46,0.0
5475,,,0.0
3496,,280018.32,
5476,,,0.0
5477,,,0.0
2367,,2670288.12,
5091,,13868793.44,312579.84
5478,,,0.0
2117,,228928.7,
2318,,138208.0,
3126,,299025.95,
5281,,,525662.15
3529,,421455.95,
2153,,1717.1,
3577,,252457.03,
2523,,251890.75,0.0
2938,,41579.62,0.0
2972,,427980.25,0.0
2992,,2393137.14,0.0
5177,,1078505.47,0.0
2375,,363262.4,
2404,,298474.23,
2570,,8644.57,0.0
3489,,38364.77,
2561,,506548.12,0.0
2383,,0.0,
5180,,73633.42,0.0
2799,,315637.26,0.0
1378,,27714640.97,11061441.0
1900,,12721044.7,1807555.0
1796,,12186818.01,1787687.0
5378,,,1735300.96
1276,,5242416.68,1158596.0
1715,,4905985.03,620770.0
5577,,,0.0
5564,,,0.0
1262,,15377362.84,1494499.0
1410,,15255670.18,3846550.0
2104,,12218145.6,
2712,,246723.76,0.0
5472,,,0.0
1884,,28014674.09,7574086.0
1920,,1258988.51,155861.0
4184,,17806184.12,2990730.0
4146,,10450593.04,748915.25
1870,,19986986.22,1672344.0
2186,,272044.68,
2116,,79664.9,
2094,,115026.8,
1641,,6585337.32,657887.0
1727,,6273629.81,1200284.0
1285,,518798.92,86350.0
2149,,1709.4,
2134,,9263.1,
4221,,5885189.5,1058840.4
3110,,14521628.76,
4278,,4746862.15,916590.87
2156,,3756.2,
1947,,1079972.79,173937.0
2511,,68452.66,0.0
5465,,,0.0
4417,,3501859.85,132475.14
4909,,,0.0
1828,,11300288.42,929579.0
2087,,158330.0,
2662,,2376105.76,0.0
4384,,464404.17,0.0
2887,,47155.5,0.0
1808,,3364325.1,319768.0
2219,,10918.0,
3094,,1970893.81,
1258,,6654597.56,2546649.0
2164,,44075.5,
5611,,,0.0
2132,,3908.1,
2148,,55195.7,
2073,,172823.13,
3106,,1863094.36,
2137,,10665.2,
2245,,16169.0,
2165,,5310.9,
2139,,10684.8,
1246,,25674004.53,7197142.0
2102,,5283.6,
3612,,,
5343,,220000.39,0.0
2881,,245180.05,0.0
1247,,496217930.75,220712228.0
2098,,4417.78,
3080,,131270.0,
2150,,3832.5,
2217,,10378.9,
2128,,985.6,
5440,,1656804.72,0.0
2238,,809.0,
3107,,11978567.7,
5613,,,0.0
2545,,617178.15,0.0
2210,,2978.5,
1280,,801099.77,1152684.0
5112,,2909011.76,335650.35
5008,,1690213.97,0.0
5227,,2721442.21,0.0
2652,,594272.15,0.0
2710,,1953897.04,0.0
5312,,9126891.9,0.0
5202,,368318.57,0.0
5341,,4917541.16,0.0
5429,,445008.28,0.0
3120,,9910572.12,
3115,,4293680.63,
2740,,237638.12,0.0
2891,,101953.04,0.0
5347,,175242.14,1022563.61
5584,,,0.0
3099,,549567.42,
5023,,2220729.36,0.0
2103,,17711728.14,
4104,,1602599.04,198165.3
2655,,345269.68,0.0
2486,,62353.76,0.0
5237,,5939756.7,0.0
5039,,3790767.48,0.0
5452,,287382.69,0.0
5579,,,0.0
5547,,,0.0
3595,,,
5474,,,122494.46
2564,,307796.38,0.0
2347,,385486.13,
1244,,31014660.65,2801027.0
2083,,3923373.29,
2239,,89.0,
2151,,26617.5,
1412,,35299777.93,4988421.0
1375,,5097818.74,710833.0
1661,,37319126.81,1713943.0
1652,,8321148.68,760524.0
3170,,16619808.6,
1436,,6719649.01,1685487.0
2147,,242500.3,
1284,,4064691.72,641581.0
1426,,12698713.54,7923456.0
2163,,16529.1,
5591,,,0.0
5592,,,0.0
5593,,,0.0
2814,,55527.93,0.0
2135,,3612.0,
4166,,216209703.21,32791178.97
3619,,,
3194,,1209952.91,
3275,,2865308.55,
3144,,3640300.38,
3183,,3570334.69,
1754,,20695468.8,75650.0
2138,,19322.8,
1243,,3482782.86,580602.0
2081,,145795.3,
3095,,14177728.92,
2123,,6106.1,
2175,,67507.3,
2193,,537898.9,
2089,,22420.0,
2182,,78416.73,
1240,,25149994.52,3479614.0
5594,,,0.0
5595,,,0.0
3627,,,
5558,,,0.0
3123,,1498099.85,
2159,,5010.6,
3628,,,
2109,,49833.0,
5479,,,0.0
5480,,,0.0
5481,,,0.0
3111,,622261.07,
2142,,287844.9,
1885,,15069225.02,2350354.0
4183,,12097027.25,1444086.0
1259,,3099238.12,1129100.0
4093,,14890071.93,2253069.0
3096,,14603949.57,
4150,,10135201.52,1518773.0
1254,,6556199.43,750065.0
3127,,41304168.5,
1824,,10887118.75,1655323.0
4119,,7594458.33,1002978.0
2091,,100369.9,
