disasterNumber,year,month,quarter,incident_duration_days,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,num_counties,tier_very_high,tier_high,tier_medium,tier_low,total_cost,log_total_cost,duration_x_counties
73,1957,5,2,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
74,1957,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
75,1957,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
76,1957,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
77,1957,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
78,1957,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
79,1957,6,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
80,1957,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
81,1957,9,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
82,1958,4,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
83,1958,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
84,1958,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
85,1958,6,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
86,1958,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
87,1958,10,4,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
88,1958,11,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
89,1959,1,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
90,1959,1,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
91,1959,1,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
92,1959,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
93,1959,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
94,1959,8,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
95,1959,11,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
96,1960,1,1,0.0,0,0,0,0,1,False,True,False,False,0.0,0.0,0.0
97,1960,3,1,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
98,1960,4,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
99,1960,4,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
100,1960,4,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
101,1960,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
102,1960,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
103,1960,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
104,1960,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
105,1960,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
106,1960,9,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
107,1960,9,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
108,1961,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
109,1961,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
110,1961,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
111,1961,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
112,1961,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
113,1961,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
114,1961,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
115,1961,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
116,1961,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
117,1961,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
118,1961,9,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
119,1961,11,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
120,1962,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
121,1962,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
122,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
123,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
124,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
125,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
126,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
127,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
128,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
129,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
130,1962,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
131,1962,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
132,1962,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
133,1962,9,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
134,1962,9,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
135,1962,10,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
136,1962,10,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
137,1962,10,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
138,1962,10,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
139,1962,11,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
140,1962,11,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
141,1962,12,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
142,1963,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
143,1963,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
144,1963,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
145,1963,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
146,1963,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
147,1963,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
148,1963,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
149,1963,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
150,1963,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
151,1963,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
152,1963,4,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
153,1963,4,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
154,1963,4,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
155,1963,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
